location_id;location_name;locality;location_from_coords;sensor_ids
"5193";"SK0031A";"Prešovský kraj";"M. R. Štefánika, Vranov nad Topľou";"13492,13494,13395"
"5196";"SK0006R";"Prešovský kraj";"558, Stakčín";"13410,13408"
"5209";"SK0406A";"Prešovský kraj";"Ladomirov";"13461,13462"
"5214";"SK0030A";"Košický kraj";"Družstevná, Strážske";"13485,13490"
"5216";"SK0037A";"Prešovský kraj";"Humenné";"13496,13498,13499,13501"
"2163378";"""Trebisov  - T. G. Masaryka""";"Trebisov";"T. G. Masaryka, Trebišov";"7775216,7774941,7774220,7775977"
"2163379";"""Strazske - Mierova""";"Strazske";"Družstevná, Strážske";"7773986,7773669"
"2163380";"""Humenne - Nam. slobody""";"Humenne";"Námestie slobody, Humenné";"7775053,7775811,7774441,7773698"
"2163381";"""Vranov nad Toplou - M. R. Stefanika""";"Vranov nad Topou";"M. R. Štefánika, Vranov nad Topľou";"7775387,7774779,7772900"
"2163393";"""Starina - Vodna nadr. EMEP/O3""";"Starina";"558, Stakčín";"7773605,7774421"
"2163394";"""Kolonicke sedlo""";"Kolonicke sedlo";"Ladomirov";"7774937,7775939"
"7244";"Nowy Targ, Plac Słowackiego";"";"Kościelna, Nowy Targ";"20860,28296,35385"
"270770";"Nowy Targ, al. Tysiąclecia ";"Nowy Targ";"Generała Władysława Sikorskiego, Nowy Targ";"1562177,1562178"
"4438";"Bily Kriz";"Staré Hamry";"48415, Visalaje";"4706546,11001,11000,10972"
"2163352";"""Oscadnica""";"Oscadnica";"2013, Oščadnica";"7773580,7774516,7774029,7775917,7775186"
"2899";"AT10003";"Burgenland";"Preßburger Straße, Kittsee";"4275562,6152,6146,6142,6117"
"2905";"Hainburg";"";"Rot Kreuz Straße, Hainburg an der Donau";"6158,6157,6145,6144"
"4516";"NET.03";"Amt der Niederösterreichischen Landesregierung";"Florianistraße, Hainburg an der Donau";"5079171,5078486,5078677,5078666,5078848,5078544"
"5186";"SK0001A";"Bratislavský kraj";"Pankúchova, Bratislava";"13431,13430,13429,13426,13387"
"5198";"""Bratislava - Kamenne nam.""";"Bratislava - mestska cast Stare Mesto";"Bratislava";"13417,13416"
"5199";"SK0002A";"Bratislavský kraj";"Trnavská cesta, Bratislava";"13422,13421,13418,22698"
"5215";"SK0048A";"Bratislavský kraj";"Tupého, Bratislava";"13489,13488,13487,13486,29078"
"2162037";"Kittsee";"2421 Kittsee";"Preßburger Straße, Kittsee";"7775992,7772830,7775482,7775146,7774272"
"2162071";"Hainburg Krankenhaus";"2410 Hainburg an der Donau";"Florianistraße, Hainburg an der Donau";"7774537,7775227,7773264,7773418,7773925,7774059"
"2163357";"""Bratislava - Mamateyova""";"Bratislava - mestska cast Petrzalka";"Bratislava";"7775138,7773845,7774038,7774313,7774718"
"2163358";"""Rovinka""";"Rovinka";"Lesná, Rovinka";"7773546,7775531,7773212,7775347"
"2163360";"""Bratislava - Puchovska""";"Bratislava - Raca";"Púchovská, Bratislava";"7772931,7773758,7772919,7773818,7775656"
"2163361";"""Bratislava - Trnavske myto""";"Bratislava - mestska cast Nove Mesto";"Trnavská cesta, Bratislava";"7774054,7775283,7774274,7773239"
"2163362";"""Bratislava - Jeseniova""";"Bratislava - mestska cast Nove Mesto";"Jeséniova, Bratislava";"7775359,7775852,7773124,7773953,7775144"
"2163364";"""Pezinok - Obrancov mieru""";"Pezinok";"Fándlyho, Pezinok";"7772905,7775890,7775253,7775630"
"4446";"Stitna n.Vlari";"Štítná nad Vláří-Popov";"Štítná nad Vláří-Popov";"10990"
"5192";"SK0047A";"Trenciansky kraj";"Hasičská, Trenčín";"13497,13495,13493,13491,13394"
"2163370";"""Trencin - Hasicska""";"Trencin";"Hasičská, Trenčín";"7775494,7774520,7774934,7773657,7774399"
"5188";"""Handlova - Morovianska cesta""";"Handlova";"M. R. Štefánika, Handlová";"5078547,5078364,5078822"
"5190";"""Prievidza - Malonecpalska""";"Prievidza";"Malonecpalská, Prievidza";"13483,13482,13480,13477,13392"
"5191";"SK0013A";"Trenciansky kraj";"Vieska";"13419,13432,13393"
"5207";"""Ziar nad Hronom - Jilemnickeho""";"Ziar nad Hronom";"Žiar nad Hronom";"13446,13448"
"2163368";"""Zarnovica""";"Zarnovica2";"Májová, Žarnovica";"7775353,7773632,7775707"
"2163371";"""Bystricany - Rozvodna SSE""";"Bystricany";"Osloboditeľov, Bystričany";"7775911,7775975,10161328"
"5183";"""Banska Bystrica - Zelena""";"Banska Bystrica";"Zelená, Banská Bystrica";"13384,13397,29080,13399"
"5208";"SK0214A";"Banskobystrický kraj";"Štefánikovo nábrežie, Banská Bystrica";"13458,13457,13452,13451,13447"
"2163373";"""Banska Bystrica - Stefanikovo nabrezie""";"Banska Bystrica";"Štefánikovo nábrežie, Banská Bystrica";"7775883,7773581,7774939,7774135,7772751"
"5184";"SK0008A";"Žilinský kraj";"Riadok, Ružomberok";"13401,13400,13398,13511,13510,13385"
"2163351";"""Ruzomberok - Riadok""";"Ruzomberok";"Riadok, Ružomberok";"7773557,7772715,7773700,7773422,7775040,7774793"
"3403806";"Ružomberok, Pivovarská";"";"Pivovarská, Ružomberok";"12213614,12213615,12213616,12213617,12213618"
"5195";"SK0264A";"Košický kraj";"Jenisejská, Košice";"13402,13404"
"5202";"SK0266A";"Prešovský kraj";"Armádneho generála Svobodu, Prešov";"13427,13428,13433,13434"
"5203";"SK0016A";"Košický kraj";"Kostolianska cesta, Košice";"13435"
"5205";"""Kosice - Stefanikova""";"Kosice";"Štefánikova, Košice";"13437,13438,13442,13445,29085"
"2163377";"""Kosice - Amurska""";"Kosice - mestska cast Nad jazerom";"Spišské námestie, Košice";"7774790,7774331"
"2163382";"""Presov - arm.gen. L. Svobodu""";"Presov";"Armádneho generála Svobodu, Prešov";"7773579,7775875,7772776,7773361"
"2163383";"""Kosice-Dumbierska""";"Kosice - mestska cast Sever";"Ďumbierska, Košice";"7773134"
"5185";"SK0265A";"Košický kraj";"Malá krížová chodba, Letanovce";"13409,13413,13420,13425,13386"
"5213";"SK0041A";"Prešovský kraj";"Na letisko, Poprad";"13474,13476,2005375"
"2163386";"""Poprad - Zeleznicna""";"Poprad";"Poprad";"7774447,7772743,7774759"
"2163389";"""Ganovce""";"Poprad";"Hlavná, Gánovce";"7774475,7774405"
"9181";"SK0002R";"Žilinský kraj";"Derešská, Horná Lehota";"29064,27553"
"2163350";"""Liptovsky Mikulas - Skolska""";"Liptovsky Mikulas";"Čs. brigády, Liptovský Mikuláš";"7773103,7773792,7773776,7776021"
"2163391";"""Chopok - EMEP/O3""";"Horna Lehota";"Demänovská Dolina";"7773052,7773521"
"2163367";"""Plastovce""";"Plastovce";"Plášťovce";"7775335,7773500,7773692,7774606"
"5182";"SK0021A";"Trnavský kraj";"Hviezdoslavova, Senica";"13383,13460,13389"
"5194";"SK0407A";"";"Kláštorné námestie, Malacky";"13463,13464,13465,13466,13396"
"2163356";"""Senica - Hviezdoslavova""";"Senica";"Hviezdoslavova, Senica";"7773672,7774737,7773823"
"2163363";"""Rohoznik - Senicka cesta""";"Rohoznik";"501, Rohožník";"7773975,7773168,7774217,7775894,7772910"